I0,I1
6163,5966
6104,5896
6043,5826
5974,5755
5903,5683
5831,5610
5764,5537
5699,5463
5630,5388
5560,5313
5481,5238
5396,5161
5329,5085
5259,5008
5187,4930
5111,4853
5027,4775
4962,4696
4885,4617
4809,4539
4730,4459
4644,4380
4559,4301
4484,4221
4407,4142
4328,4062
4249,3983
4170,3903
4098,3824
4024,3745
3944,3665
3862,3587
3787,3508
3703,3429
3630,3351
3557,3273
3478,3196
3400,3119
3326,3042
3253,2966
3181,2890
3107,2815
3026,2741
2955,2667
2875,2593
2801,2520
2729,2448
2648,2377
2565,2307
2491,2237
2421,2168
2351,2100
2280,2032
2203,1966
2135,1901
2061,1836
2000,1773
1933,1710
1865,1649
1792,1589
1710,1529
1650,1471
1589,1414
1533,1359
1470,1304
1411,1251
1340,1199
1291,1148
1234,1098
1183,1050
1130,1003
1075,958
1012,913
959,871
902,829
849,789
810,751
769,714
726,678
683,644
637,612
597,581
556,551
517,524
474,497
454,472
433,449
409,428
383,408
359,389
336,373
318,358
300,344
284,332
268,322
254,314
241,307
231,302
224,298
217,296
213,296
210,298
209,301
209,306
211,312
213,320
216,330
222,341
229,354
239,369
251,385
265,403
282,423
302,444
323,467
344,491
365,517
390,545
418,574
446,605
471,637
499,670
538,706
583,742
620,780
660,820
701,861
737,903
777,947
817,993
856,1039
911,1087
962,1136
1015,1187
1070,1239
1117,1292
1166,1346
1212,1401
1268,1458
1317,1516
1373,1575
1437,1635
1501,1696
1558,1758
1622,1822
1677,1886
1749,1951
1819,2017
1894,2084
1958,2152
2024,2221
2085,2290
2150,2361
2217,2432
2285,2504
2354,2576
2420,2650
2490,2723
2557,2798
2636,2873
2709,2949
2778,3025
2848,3101
2919,3178
2992,3256
3066,3333
3135,3411
3205,3490
3276,3568
3349,3647
3430,3726
3508,3806
3589,3885
3707,3964
3794,4044
3862,4096
3936,4176
4002,4255
4072,4334
4148,4414
4217,4493
4300,4572
4383,4651
4463,4729
4541,4808
4632,4886
4714,4963
4797,5041
4873,5117
4946,5194
5011,5270
5090,5345
5168,5420
5249,5494
5328,5568
5398,5641
5482,5713
5561,5785
5632,5856
5701,5926
5769,5995
5836,6064
5908,6131
5979,6198
6054,6264
6121,6329
6184,6392
6257,6455
6330,6517
6399,6578
6457,6638
6516,6696
6573,6754
6644,6810
6701,6865
6769,6919
6821,6972
6877,7023
6928,7073
6985,7122
7033,7169
7092,7215
7148,7260
7194,7303
7241,7345
7283,7386
7328,7425
7373,7463
7418,7499
7469,7533
7507,7567
7543,7598
7585,7628
7620,7657
7655,7684
7691,7709
7722,7733
7751,7755
7781,7776
7811,7795
7835,7812
7855,7828
7875,7842
7898,7855
7921,7866
7941,7875
7955,7882
7964,7888
7972,7893
7978,7895
7984,7896
7988,7895
7991,7893
7992,7889
7991,7883
7989,7876
7986,7866
7982,7856
7977,7843
7969,7829
7959,7814
7947,7796
7923,7777
7903,7757
7884,7735
7866,7711
7850,7686
7832,7659
7809,7631
7780,7601
7749,7569
7719,7536
7687,7501
7651,7465
7616,7428
7578,7389
7533,7348
7495,7307
7459,7263
7411,7219
7368,7173
7327,7125
7277,7077
7232,7027
7177,6975
7127,6923
7064,6869
7014,6814
6965,6758
6909,6701
6853,6642
6792,6583
6725,6522
6661,6460
6597,6397
6537,6334
6476,6269
6415,6203
6344,6136
6275,6069
6194,6000
6139,5931
6076,5861
6013,5790
5946,5719
5866,5646
5805,5573
5732,5500
5670,5426
5599,5351
5520,5275
5446,5200
5360,5123
5296,5046
5224,4969
5148,4892
5071,4814
4996,4735
4924,4657
4849,4578
4770,4499
4684,4420
4605,4341
4519,4261
4445,4182
4369,4102
4289,4023
4205,3943
4138,3864
4061,3784
3984,3705
3907,3626
3823,3547
3745,3469
3667,3390
3592,3312
3518,3235
3442,3157
3359,3080
3292,3004
3217,2928
3139,2853
3071,2778
2990,2703
2913,2630
2840,2557
2764,2484
2688,2413
2611,2342
2522,2272
2457,2202
2379,2134
2278,2066
2246,1999
2139,1933
2071,1868
2013,1804
1948,1741
1885,1680
1812,1619
1742,1559
